preds,targets,dates,close
0.5160272,1.0,2018/10/19,16.57
0.5040107,1.0,2018/10/22,17.79
0.53377616,0.0,2018/10/23,17.34
0.5187132,0.0,2018/10/24,17.29
0.48637277,1.0,2018/10/25,17.44
0.53228253,0.0,2018/10/26,17.25
0.5430652,1.0,2018/10/29,17.45
0.5173413,0.0,2018/10/30,16.89
0.5479764,1.0,2018/10/31,16.93
0.50207734,1.0,2018/11/1,17.2
0.52160823,1.0,2018/11/2,18.34
0.49858868,0.0,2018/11/5,18.23
0.5582884,1.0,2018/11/6,19.03
0.5773736,1.0,2018/11/7,19.59
0.5300404,0.0,2018/11/8,19.4
0.5443778,1.0,2018/11/9,19.87
0.53219473,1.0,2018/11/12,20.2
0.5311687,1.0,2018/11/13,20.3
0.54243684,0.0,2018/11/14,19.87
0.5136557,1.0,2018/11/15,20.2
0.54330367,1.0,2018/11/16,21.79
0.51449203,0.0,2018/11/19,21.73
0.5424243,0.0,2018/11/20,20.51
0.5452149,1.0,2018/11/21,20.8
0.50042415,0.0,2018/11/22,20.46
0.5166851,0.0,2018/11/23,19.77
0.5097345,1.0,2018/11/26,20.43
0.55260265,1.0,2018/11/27,20.99
0.51149863,0.0,2018/11/28,20.56
0.49308404,0.0,2018/11/29,19.49
0.5317798,1.0,2018/11/30,19.87
0.49335045,1.0,2018/12/3,21.44
0.542295,0.0,2018/12/4,21.27
0.5073453,0.0,2018/12/5,21.09
0.5362101,0.0,2018/12/6,19.89
0.500517,1.0,2018/12/7,19.99
0.5103831,1.0,2018/12/10,20.04
0.4795468,1.0,2018/12/11,20.34
0.54322714,0.0,2018/12/12,20.0
0.5259402,1.0,2018/12/13,20.2
0.5355433,0.0,2018/12/14,19.65
0.5340465,0.0,2018/12/17,19.25
0.53088385,0.0,2018/12/18,19.1
0.49103266,0.0,2018/12/19,19.02
0.5265127,1.0,2018/12/20,19.36
0.50896263,0.0,2018/12/21,19.24
0.52007365,1.0,2018/12/24,20.26
0.5010226,1.0,2018/12/25,20.36
0.5297267,0.0,2018/12/26,19.86
0.5324116,1.0,2018/12/27,19.9
0.4981777,0.0,2018/12/28,19.59
0.5129349,0.0,2019/1/2,19.56
0.5412077,0.0,2019/1/3,18.78
0.5260531,1.0,2019/1/4,19.2
0.5196016,1.0,2019/1/7,20.02
0.5446915,0.0,2019/1/8,19.9
0.5067856,1.0,2019/1/9,19.92
0.5265547,1.0,2019/1/10,20.07
0.5160106,1.0,2019/1/11,20.51
0.5402907,0.0,2019/1/14,20.09
0.5113888,1.0,2019/1/15,20.6
