日期,内容,来源
2010/2/4,花旗调高中兴通讯目标价至64港元,和讯
2010/2/5,花旗：中兴通讯目标价64元 买入评级,和讯
2010/2/9,中兴通讯超权证行权成本有望融资25亿,Wind
2010/2/9,港五大公司评级,和讯
2010/2/18,泓福资产：中兴通讯目标价52港元,和讯
2010/2/21,中兴通讯预计其终端产品需求旺盛,Wind
2010/2/24,【大行言论】中兴通讯(00763-HK)逆市升逾2%，大华继显维持买入评级,和讯
2010/2/24,大华继显：维持中兴通讯买入评级 目标价56港元,和讯
2010/2/24,国信证券：中兴通讯后市股价将有更大空间,Wind
2010/2/24,中信证券：中兴通讯盈利水平将进一步提升,Wind
2010/2/25,中兴通讯：行业有景续看涨 目标价53.5港元,和讯
2010/2/25,大行评级：花旗调降富士康目标价,和讯
2010/3/11,中兴通讯联合沃达丰开设研发实验室,证券时报
2010/3/25,中兴通讯携手全球盟友发力移动互联网,证券时报
2010/4/3,中兴通讯换帅遭遇罕见放量大跌,Wind
2010/4/8,中兴通讯09年净利润同比增近五成,Wind
2010/4/9,【产业】中兴通讯2009年收入逾600亿元,《财经》网络版
2010/4/9,中兴通讯：2010年资本支出将超过人民币15亿元,WSJ
2010/4/9,中金公司：中兴通讯损益符合预期,Wind
2010/4/9,中兴通讯国内业务去年增幅达74%,证券时报
2010/4/12,国金证券：光通信将面临持续3年投资机会,Wind
2010/4/16,大通证券：中兴通讯业绩符合预期,Wind
2010/4/16,中兴与华为全球排名双双上升,Wind
2010/4/28,中信建投：中兴通讯半年内目标价51元,Wind
2010/4/29,印度禁止进口中国产电信设备,Wind
2010/4/30,中兴通讯A股跌8.67%，受印度禁止进口中国产电信设备报导拖累,WSJ
2010/5/10,中金公司：中兴通讯估值吸引力浮现,Wind
2010/5/12,中兴通讯表示将遵守印度政府的安全规定,WSJ
2010/5/12,中兴通讯称正考虑在印度开设工厂,Wind
2010/5/13,中兴通迅高层会晤印度安全事务官员,路透中文
2010/5/13,〔中港个股〕中兴通迅高层与印度安全事务官员会面,路透中文
2010/5/17,中兴通讯：全力投入TD-LTE,
2010/5/18,中兴冀手机业务5年占5成,香港文汇报
2010/6/1,中兴通讯手机终端累计销量跻身全球前五,Wind
2010/6/2,中兴印度总裁表态：不可能在间谍公司服务,经济观察网
2010/6/4,光大证券：印度解禁中国电信设备利好中兴通讯,Wind
2010/6/17,深市主板、中小板09年信息披露考核结束，整体质量提升,深交所
2010/6/17,中兴获中电信11亿合约,香港文汇报
2010/6/18,长江证券：持续看好通信系统行业,Wind
2010/6/19,中兴通讯固网宽带产品居全球第二,证券时报
2010/6/28,中兴通讯在印尼建CDMA商用网交付6000个基站,Wind
2010/7/5,中兴独家中标土耳其电信全网IP化改造大单,Wind
2010/7/5,国信证券：警惕通信运营与设备行业投资拐点,Wind
2010/7/8,产品遭印度暂时禁售 中兴通讯全年营收或降7%,中新网
2010/7/8,安信证券：中兴通讯价值重估因毛利率上升,Wind
2010/7/9,中国企业在印度遭遇"黑名单" 疑利益集团从中作梗,中新网
2010/7/12,商务部敦促印度公正对待中国电信设备公司,Wind
2010/7/16,中兴通讯斥资100亿河源建基地,Wind
2010/7/17,中兴100亿 河源建研发基地,香港文汇报
2010/7/17,中兴通讯拟投资100亿建生产研发培训基地,Wind
2010/7/22,三网融合：拨开迷雾中的投资机会,全景网
2010/7/22,中银国际：中兴通讯下半年前景向好,Wind
2010/7/26,中兴通讯拟涉水外汇衍生品,
2010/7/28,中信证券：通信板块低估值股票股价有回升空间,Wind
2010/7/29,国信证券：推荐按需配置通信行业三组合,Wind
