date,open,high,low,close,volume,increase,increase_rate,change,PE,PB,A-index,communication-index,一带一路,上市,业绩下降,业绩增长,中标,举牌,交易所关注,交易所处罚,交易所问询,借壳,停牌,其他公告,冲高,净利下降,净利增长,减持,分红,创新低,创新高,利好公告,利好消息,利差公告,利差消息,募资,双十一,发展不利,发行债券,发行股票,可转债,回应传闻,回购,基金,增持,复牌,大宗交易,官司案件违规违纪,定期报告,客观涨,客观跌,工商变更,市场占有率利好,异常交易,快速发展,战略合作,投建,投资,拓展业务,挂牌,摘帽,收购并购,改革,政策利好,机构悲观,机构看好,板块走弱,概念板块走强,注册资本变更,混改,登上龙虎榜,经营权变更,绩优股,聘请高管,股价倒挂,股权激励,股权转让,董事会股东会监事会,证券资讯,证监会受理,证监会处罚,证监会核准,评级下调,评级利好,质押,资产冻结,资产重组,资金流入,资金流出,退市,预计下滑,预计增长,首次公开发行股票,高管减持或离职,pred,label
2010/2/4,2.635715448403852,2.661111353758689,2.693347636815856,2.7471026255197186,-0.8632893579304635,1.1615372790584608,0.645737794858806,-0.7524601516927634,0.8960057333149367,1.3233455468633362,-0.7158608438309169,-0.7826001281024573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9641121625900269,1
2010/2/5,2.666568895361527,2.6586934309243544,2.7298756225562526,2.710128344651,-0.8637763587548866,-0.4298330979613575,-0.2708176711887572,-0.7535723202669066,0.8869843074072611,1.2972128565346888,-0.7665226026647923,-0.7913384015966041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9804116487503052,0
2010/2/9,2.712231996858887,2.642976932501184,2.717279765404392,2.674386539811237,-0.9203635378540848,-0.8493761973574915,-0.5091630889039099,-0.8837578305846633,0.8782602051634979,1.2719331620327918,-0.75899433608612,-0.7949193984600204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9348400831222534,0
2010/2/24,2.839348198324509,3.031053547411795,2.918813479834167,3.098358293772552,-0.8508455197453623,2.7529076560782797,1.503625794505546,-0.7292281859217732,0.997420487783576,1.617008746491196,-0.6385612592723362,-0.6614440104207107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8291594684123993,1
2010/2/25,3.246613698165821,3.1326063064538245,3.202220265751039,3.111915530091083,-0.8779895253025108,0.1633140425642111,0.0605474884342069,-0.7907681803576943,1.0007692911560695,1.6267018808860951,-0.5942636680219602,-0.6521010783461243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.807923436164856,1
2010/3/11,2.918333022536157,2.846082450585242,2.944005194137889,2.919649269573742,-0.9437790308430508,0.3224510802661929,0.1517647961333185,-0.9399841307219006,0.9533187816876392,1.489292007704007,-0.618360090812149,-0.6640794091392297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803909063339232,1
2010/3/25,2.717168548372115,2.65264862383852,2.758846094005533,2.731080437143273,-0.9112598449543818,0.2645830665563813,0.124763624850048,-0.8663338562564206,0.9067798039783104,1.3545186670773317,-0.5916625677030758,-0.615723317107656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8838292360305786,1
2010/4/8,2.567837865096967,2.4979015624411414,2.522043979550547,2.51293218001783,-0.8137033669505189,-0.6323711459456981,-0.3985784489230806,-0.645259458573965,0.8529446600426956,1.1986530660073555,-0.4638120908815888,-0.6253285539024642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9811733961105348,0
2010/4/9,2.611032690837712,2.582528861642833,2.7046839082525307,2.660829303492706,-0.7000466193660098,1.7402174161565769,1.007638310487982,-0.3876688593738093,0.8894450519414883,1.3043470034493343,-0.4242199327490635,-0.5767042171084785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5965820997953415,1
2010/4/12,2.6912516529276678,2.7771716498067223,2.7928549083155576,2.87035022841545,-0.6423132599550188,2.4635675875292216,1.3961158952336756,-0.2568654776259729,0.9411519843880416,1.4540865435817334,-0.4176063153808838,-0.5124951896206816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7667011022567749,1
2010/4/16,2.752958546843018,2.6804547364333606,2.805450765467419,2.7360103412591026,-0.9039050766326144,0.0909790254269466,0.0252409830520246,-0.8496513276442733,0.90799648370827,1.3580857405346545,-0.469690151192379,-0.6030511328148701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9584717154502868,1
2010/4/28,2.4937895923985463,2.564394440385327,2.5283419081264773,2.5819508376394387,-0.8130873190508381,0.1633140425642111,0.069312266547101,-0.6438383542847822,0.869978176262132,1.2479717338086016,-0.622338495070377,-0.6571616171468954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977420449256897,1
2010/4/29,2.601159587811257,2.5704392474711626,2.452766765215311,2.4389836182803912,-0.8184572840652218,-1.6739953927223064,-1.0082959973248915,-0.6560104214573489,0.8346944640932992,1.1457673247487865,-0.6886516288558336,-0.7038254571588637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2881631255149841,0
2010/4/30,2.0606071971127866,2.1049891018618614,2.0308055506279694,2.0384289088692653,-0.4212936278060009,-4.697599109059961,-2.8603148176877533,0.2440428907395014,0.7358421701491735,0.8595484523362096,-0.7329769367489517,-0.7766931804327317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9084789380431176,0
2010/5/10,1.6595123866630093,1.6637181845959008,1.6970153361036528,1.698265524877048,-0.8005291830733291,0.3513850871210987,0.2234027204673361,-0.6153544813581159,0.6518912687819501,0.6164446417121427,-0.872519572708768,-0.8764879635335968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7947120666503906,1
2010/5/12,1.6903658336206844,1.6637181845959008,1.6352956360595348,1.650198959747713,-0.8739055842966186,-0.5021681150986219,-0.3833107709199747,-0.781685470335525,0.6400296194532108,0.5820921734166209,-0.958021151469601,-0.9261079645423712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4830161929130554,0
2010/5/13,1.6558099730280882,1.7580171751349285,1.7360624932744222,1.8363028401202663,-0.8632488980490972,2.1886945224076166,1.5407700759436578,-0.7575266974194156,0.6859583012208235,0.715081977314635,-0.8998204658098444,-0.8866536385947595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7097476720809937,1
