labels,recall,f1
一带一路,0.4,0.5714285714285715
上市,0.9411764705882353,0.9411764705882353
业绩下降,0.8,0.5714285714285714
业绩增长,0.9285714285714286,0.8125000000000001
中标,1.0,1.0
举牌,0.8333333333333334,0.9090909090909091
交易所关注,0.5789473684210527,0.6666666666666667
交易所处罚,0.5294117647058824,0.6666666666666667
交易所问询,1.0,0.9302325581395349
借壳,0.8529411764705882,0.8923076923076922
停牌,0.9811320754716981,0.9629629629629629
其他公告,0.9833333333333333,0.9888268156424581
冲高,0.6923076923076923,0.8181818181818181
净利下降,0.8571428571428571,0.8571428571428571
净利增长,0.7435897435897436,0.8285714285714285
减持,0.8395061728395061,0.8242424242424242
分红,0.9230769230769231,0.9600000000000001
创新低,0.5,0.6666666666666666
创新高,0.7916666666666666,0.7916666666666666
利好公告,1.0,0.9743589743589743
利好消息,0.5333333333333333,0.5647058823529412
利差消息,0.6206896551724138,0.5142857142857142
募资,0.868421052631579,0.9295774647887324
双十一,0.0,0.0
发展不利,0.5,0.5555555555555556
发行债券,0.9770114942528736,0.96045197740113
发行股票,0.0,0.0
可转债,1.0,1.0
回应传闻,0.8,0.888888888888889
回购,0.9523809523809523,0.9302325581395349
基金,0.95,0.8837209302325583
增持,0.90625,0.9456521739130435
复牌,0.926605504587156,0.9395348837209303
大宗交易,0.6285714285714286,0.7096774193548386
官司案件违规违纪,0.7674418604651163,0.7252747252747254
定期报告,0.9409090909090909,0.9539170506912443
客观涨,0.9310344827586207,0.9090909090909091
客观跌,0.7555555555555555,0.7391304347826088
工商变更,1.0,1.0
市场占有率利好,0.75,0.8571428571428571
异常交易,1.0,1.0
快速发展,0.8333333333333334,0.6666666666666667
战略合作,0.8478260869565217,0.8666666666666666
投建,1.0,0.88
投资,0.9302325581395349,0.8163265306122448
拓展业务,0.65625,0.6774193548387096
挂牌,0.8888888888888888,0.9411764705882353
摘帽,1.0,1.0
收购并购,0.9528301886792453,0.9395348837209303
改革,1.0,1.0
政策利好,0.8125,0.742857142857143
机构悲观,0.2,0.33333333333333337
机构看好,0.8461538461538461,0.868421052631579
板块走弱,0.6428571428571429,0.6666666666666666
概念板块走强,0.8333333333333334,0.8333333333333334
注册资本变更,0.5,0.5714285714285715
混改,1.0,0.7499999999999999
登上龙虎榜,1.0,1.0
绩优股,0.0,0.0
聘请高管,0.25,0.36363636363636365
股价倒挂,1.0,1.0
股权激励,0.8157894736842105,0.8051948051948051
股权转让,0.9767441860465116,0.9655172413793104
董事会股东会监事会,1.0,0.9600000000000001
证券资讯,1.0,1.0
证监会受理,0.8,0.888888888888889
证监会处罚,0.8421052631578947,0.744186046511628
证监会核准,0.9230769230769231,0.9600000000000001
评级下调,1.0,1.0
评级利好,0.9166666666666666,0.9166666666666666
质押,0.9310344827586207,0.9152542372881356
资产冻结,0.6666666666666666,0.8
资产重组,0.95,0.9047619047619048
资金流入,0.7857142857142857,0.7333333333333334
资金流出,0.625,0.5882352941176471
退市,1.0,0.9696969696969697
预计下滑,0.875,0.9333333333333333
预计增长,0.9655172413793104,0.9491525423728815
首次公开发行股票,0.7777777777777778,0.8750000000000001
高管减持或离职,0.896551724137931,0.8813559322033899
